alert_id,vehicle_id,alert_time,alert_type,severity,message,resolved,resolved_at
1,31,2024-09-18 20:46:48,battery_low,medium,Battery Low on BMW i3,True,2024-09-19 19:30:32
2,33,2024-05-29 03:48:23,overtemp,low,Overtemp on Hyundai Ioniq 5,True,2024-05-31 09:05:25
3,19,2023-12-24 05:57:11,overtemp,high,Overtemp on Volkswagen ID.3,True,2023-12-24 10:08:53
4,15,2023-06-23 04:00:59,charging_error,high,Charging Error on Volkswagen ID.3,True,2023-06-25 20:05:16
5,40,2023-02-18 20:03:50,charging_error,critical,Charging Error on Nissan Leaf,False,
6,11,2024-01-12 16:21:38,overtemp,critical,Overtemp on Hyundai Ioniq 6,True,2024-01-13 04:40:34
7,18,2024-07-10 08:18:17,battery_low,low,Battery Low on Volkswagen ID.3,True,2024-07-12 07:50:45
8,38,2023-07-13 04:06:07,fault,medium,Fault on BYD Han,True,2023-07-15 04:52:29
9,45,2023-01-08 04:17:15,overtemp,low,Overtemp on Tesla Model S,True,2023-01-10 15:36:04
10,15,2024-09-22 08:00:08,fault,low,Fault on Volkswagen ID.3,True,2024-09-23 19:53:47
11,35,2023-08-12 05:41:37,charging_error,low,Charging Error on Nissan Ariya,False,
12,36,2024-03-03 17:43:20,fault,high,Fault on Hyundai Ioniq 6,False,
13,19,2023-07-06 12:04:24,fault,medium,Fault on Volkswagen ID.3,True,2023-07-06 22:11:09
14,15,2023-07-15 12:24:17,charging_error,medium,Charging Error on Volkswagen ID.3,True,2023-07-16 00:45:11
15,36,2023-10-30 04:38:58,battery_low,low,Battery Low on Hyundai Ioniq 6,True,2023-10-30 09:46:43
16,50,2024-02-03 16:16:25,overtemp,low,Overtemp on BYD Han,True,2024-02-05 14:49:38
17,42,2024-04-13 16:16:59,charging_error,critical,Charging Error on BYD Han,True,2024-04-15 07:56:12
18,17,2024-10-24 06:17:26,charging_error,medium,Charging Error on Volkswagen ID.3,True,2024-10-27 05:09:39
19,46,2023-07-26 12:55:28,maintenance,low,Maintenance on Volkswagen ID.4,True,2023-07-27 10:45:34
20,34,2023-06-18 04:08:07,charging_error,high,Charging Error on Tesla Model 3,True,2023-06-18 19:02:37
21,22,2024-07-02 02:16:42,battery_low,medium,Battery Low on Hyundai Ioniq 5,True,2024-07-03 22:55:33
22,47,2023-01-01 08:54:16,overtemp,medium,Overtemp on Hyundai Ioniq 6,True,2023-01-01 13:38:12
23,30,2024-12-08 13:07:31,maintenance,low,Maintenance on Nissan Ariya,False,
24,40,2024-09-18 16:12:50,fault,medium,Fault on Nissan Leaf,True,2024-09-18 17:14:38
25,25,2024-01-05 22:08:10,fault,high,Fault on BMW iX,True,2024-01-08 00:49:49
26,22,2024-11-29 09:27:30,fault,medium,Fault on Hyundai Ioniq 5,True,2024-11-30 03:22:33
27,18,2023-08-18 17:16:19,maintenance,low,Maintenance on Volkswagen ID.3,True,2023-08-19 11:47:37
28,34,2024-05-13 00:18:53,overtemp,critical,Overtemp on Tesla Model 3,False,
29,23,2024-09-18 16:39:41,overtemp,low,Overtemp on Rivian R1T,True,2024-09-19 17:14:40
30,26,2023-03-14 00:07:09,charging_error,low,Charging Error on BYD Atto 3,True,2023-03-15 04:22:13
