record_id,vehicle_id,recorded_at,state_of_health,state_of_charge,temperature_c,voltage_v,cycle_count,charging_mode
1,41,2024-09-28 17:22:07,96.56,85.65,19.65,370.455,37,fast
2,39,2023-12-12 05:08:43,97.79,41.91,-4.81,416.147,24,rapid
3,50,2024-03-13 03:26:06,97.82,15.15,9.09,369.047,51,slow
4,50,2023-10-21 22:20:02,98.22,59.34,3.6,392.037,26,slow
5,25,2023-08-12 07:48:22,96.96,83.5,29.75,343.453,17,rapid
6,41,2023-08-18 22:07:29,97.58,88.31,35.54,418.329,17,slow
7,24,2023-12-29 19:05:15,101.12,44.4,10.28,386.124,29,slow
8,31,2024-02-22 20:45:39,96.12,38.83,-1.9,415.343,27,slow
9,38,2024-05-28 21:49:37,96.92,98.04,35.66,392.612,59,slow
10,8,2024-03-11 19:54:16,96.39,87.47,-8.9,349.403,57,slow
11,28,2024-10-13 05:36:14,98.6,85.99,-9.81,384.46,68,slow
12,4,2024-11-08 13:55:08,97.93,22.23,27.97,393.342,63,fast
13,43,2024-06-02 01:22:44,97.7,86.6,33.17,346.77,54,fast
14,9,2024-06-25 21:20:13,96.36,21.65,42.74,348.414,42,rapid
15,42,2024-08-23 08:03:18,94.34,12.54,17.0,356.182,45,rapid
16,24,2023-10-31 04:31:46,98.05,60.66,-3.84,387.427,19,slow
17,23,2024-11-03 02:44:48,92.62,43.16,3.21,414.196,80,rapid
18,43,2023-12-23 22:53:15,99.13,75.75,33.03,388.785,28,slow
19,32,2023-10-05 05:33:13,99.65,82.94,18.87,391.117,18,rapid
20,8,2024-03-03 23:19:24,98.04,20.17,29.98,360.971,37,fast
21,32,2023-12-17 09:36:49,99.45,93.57,26.67,415.61,36,fast
22,14,2024-02-22 03:16:52,95.89,44.8,21.83,377.574,25,fast
23,10,2024-08-23 10:09:39,97.27,72.73,39.06,374.063,58,slow
24,25,2024-09-21 00:48:31,95.52,61.96,21.27,416.973,61,slow
25,24,2023-07-05 14:49:33,98.45,78.82,16.31,357.34,14,fast
26,34,2023-04-13 23:55:49,98.92,76.42,33.06,369.913,7,fast
27,12,2023-11-25 23:05:27,96.12,34.91,20.19,379.277,29,slow
28,8,2023-05-25 16:49:10,98.54,46.29,37.0,387.139,10,fast
29,8,2023-12-18 02:57:54,96.52,22.37,2.16,375.24,31,fast
30,22,2024-12-04 10:49:39,93.58,81.39,21.22,362.152,77,fast
31,24,2024-10-11 17:26:55,95.08,96.89,28.1,379.596,58,rapid
32,6,2023-12-23 06:25:03,98.8,16.67,-3.1,364.101,26,fast
33,14,2023-09-29 15:39:59,98.29,72.09,17.22,342.533,26,fast
34,11,2023-02-08 23:07:17,99.9,56.4,30.32,355.048,3,fast
35,29,2024-05-14 22:32:39,98.96,33.09,0.97,348.034,47,fast
36,1,2024-09-18 11:51:50,94.72,38.39,-9.09,385.81,45,rapid
37,42,2024-12-12 09:02:49,96.22,74.52,-9.14,351.673,64,rapid
38,38,2024-01-04 02:56:34,98.47,27.37,5.31,386.763,21,slow
39,7,2024-10-22 20:04:26,94.36,67.63,12.86,411.492,67,slow
40,14,2023-05-01 21:01:59,98.45,87.64,22.24,369.577,15,fast
41,14,2024-02-15 15:06:41,99.21,19.07,7.87,379.959,49,fast
42,30,2023-10-14 22:41:54,98.32,67.87,37.89,406.969,21,rapid
43,11,2023-10-26 12:46:15,98.19,39.1,12.89,353.013,37,slow
44,15,2023-09-23 09:25:31,98.65,81.37,24.26,395.661,16,slow
45,37,2023-08-09 23:17:33,99.05,50.03,26.65,358.326,18,slow
46,40,2024-12-20 04:21:54,96.33,93.36,15.98,343.967,75,fast
47,4,2024-09-10 08:29:47,93.59,98.68,-7.17,386.247,70,slow
48,26,2023-05-28 11:43:41,99.72,16.71,24.78,399.051,16,slow
49,11,2023-05-09 12:21:29,98.61,16.06,18.3,412.436,9,fast
50,43,2024-10-06 16:20:30,96.92,75.87,39.9,361.585,42,rapid
51,13,2023-12-04 16:20:15,98.01,56.61,43.93,387.783,42,fast
52,28,2024-06-25 02:21:20,95.62,38.75,-3.59,391.744,31,fast
53,47,2024-01-03 17:38:06,98.86,25.99,34.16,387.412,23,rapid
54,8,2024-05-14 12:43:09,96.68,68.54,-1.2,386.632,50,rapid
55,8,2023-08-14 09:35:34,98.67,83.4,42.88,395.469,18,rapid
56,38,2023-05-28 05:40:17,98.92,35.61,-0.74,365.716,7,slow
57,11,2024-09-29 12:39:07,94.2,13.87,-7.16,412.174,66,rapid
58,20,2023-12-05 12:38:33,96.95,55.29,42.82,371.28,27,fast
59,35,2023-02-27 13:22:38,99.16,81.94,-3.15,392.966,5,rapid
60,21,2024-04-16 05:10:00,94.93,92.18,7.17,361.849,48,slow
61,21,2023-05-29 15:44:41,98.97,12.29,-4.77,355.255,13,slow
62,14,2023-03-21 11:46:29,100.8,84.59,19.35,353.666,10,fast
63,12,2024-02-26 20:56:38,97.93,21.28,38.48,410.139,53,fast
64,12,2023-11-02 07:16:30,98.17,17.35,3.35,402.429,15,slow
65,21,2023-07-11 18:29:38,96.15,24.3,19.53,375.281,10,fast
66,31,2023-10-26 22:24:23,99.37,79.55,24.05,398.539,31,rapid
67,43,2024-05-28 03:54:42,97.67,91.89,13.46,371.611,45,slow
68,35,2024-06-28 07:51:32,95.32,87.86,16.77,350.727,29,rapid
69,22,2023-05-19 15:04:25,98.63,31.7,2.03,342.864,16,slow
70,2,2024-06-18 07:48:21,96.1,82.35,22.91,409.036,69,slow
71,19,2024-09-12 00:59:43,95.12,26.46,9.05,410.829,53,rapid
72,35,2024-04-05 07:03:51,96.56,63.42,16.7,407.52,51,rapid
73,46,2023-07-01 16:50:14,98.96,60.0,-4.31,384.107,21,rapid
74,37,2023-05-29 03:21:33,98.03,68.33,43.36,390.125,16,fast
75,36,2024-05-20 13:50:27,94.82,76.38,-7.81,354.452,62,fast
76,30,2024-08-23 14:51:10,95.12,17.12,23.78,369.377,41,slow
77,47,2023-11-28 04:19:40,98.64,68.57,7.53,364.997,29,slow
78,23,2023-01-06 07:26:32,100.78,98.51,44.82,340.264,0,slow
79,47,2024-03-09 20:52:07,96.84,35.43,21.78,388.956,54,slow
80,23,2023-12-21 05:44:06,98.76,47.45,42.7,350.02,19,rapid
