session_id,vehicle_id,driver_id,start_time,end_time,energy_added_kwh,start_soc,end_soc,charger_type,location,cost_usd
1,8,19,2023-07-03 18:13:54,2023-07-03 21:24:24,22.86,15.33,57.43,Level2,West Bianca,4.99
2,40,31,2024-05-10 17:32:03,2024-05-10 18:36:52,54.014,31.78,93.09,DCFC,South Douglasstad,11.01
3,19,13,2023-03-23 18:10:20,2023-03-23 19:25:47,62.883,20.67,89.32,DCFC,Lake Chelseytown,7.4
4,24,22,2024-04-10 19:18:42,2024-04-11 13:30:38,34.578,18.59,55.18,Level1,Lake Amber,11.96
5,34,15,2024-11-26 15:49:07,2024-11-26 17:57:44,15.435,27.43,56.28,Level2,Hallberg,1.91
6,40,21,2024-05-11 11:26:19,2024-05-11 12:25:56,49.688,33.61,90.01,DCFC,Vasquezfort,7.1
7,14,25,2023-05-24 00:18:42,2023-05-24 00:36:11,14.57,32.15,62.76,DCFC,Donnamouth,2.63
8,21,14,2023-11-20 10:28:18,2023-11-20 11:04:43,30.36,22.06,62.54,DCFC,Morrisside,4.22
9,38,37,2024-12-19 08:55:21,2024-12-19 09:50:09,45.67,20.78,95.04,DCFC,West Zachary,13.99
10,22,31,2024-05-04 19:15:46,2024-05-06 01:26:09,57.329,36.37,96.59,Level1,Foxbury,18.79
11,17,29,2024-12-03 03:26:34,2024-12-03 05:18:33,13.438,26.34,54.63,Level2,Robinsonton,2.68
12,14,35,2023-06-06 20:16:53,2023-06-06 22:41:23,17.341,17.92,54.35,Level2,Kochtown,5.24
13,28,6,2023-08-30 05:27:29,2023-08-30 15:37:54,19.33,21.32,54.59,Level1,East Gregoryville,2.99
14,24,2,2024-02-12 09:42:06,2024-02-12 17:38:27,57.163,38.42,98.91,Level2,Burketown,9.73
15,44,17,2024-10-08 11:52:18,2024-10-08 19:34:38,55.481,38.01,100,Level2,Melissaton,7.27
16,18,39,2024-04-22 07:18:38,2024-04-23 00:49:10,33.267,43.57,83.08,Level1,South Juliemouth,5.95
17,40,35,2023-12-16 05:40:50,2023-12-17 16:04:02,65.335,14.58,88.74,Level1,North Sandra,16.67
18,46,24,2023-05-21 09:11:44,2023-05-22 04:53:40,37.428,13.22,71.61,Level1,South Summer,9.26
19,7,32,2024-05-18 06:38:14,2024-05-18 11:21:02,33.937,55.08,99.5,Level2,North Vincentstad,10.6
20,19,39,2024-07-11 15:39:15,2024-07-11 16:49:25,58.477,29.72,93.56,DCFC,Martinshire,16.65
21,34,33,2024-08-30 10:40:11,2024-08-30 11:14:47,28.837,46.1,100,DCFC,Phillipshire,3.42
22,20,32,2024-02-23 11:00:57,2024-02-23 12:49:55,13.077,26.04,49.56,Level2,Port Carrieberg,3.94
23,47,17,2024-03-23 04:15:22,2024-03-23 21:35:34,32.94,48.45,100,Level1,Lake Jessehaven,11.51
24,47,11,2023-08-02 22:48:54,2023-08-03 03:57:58,37.088,41.96,100,Level2,Fergusonfurt,9.43
25,3,9,2023-10-16 06:27:14,2023-10-16 07:21:14,45.009,49.99,100,DCFC,Buckleyland,13.25
26,49,12,2023-02-18 14:38:44,2023-02-18 17:51:50,23.173,59.55,86.59,Level2,Port Oliviabury,7.07
27,21,19,2023-03-10 20:04:33,2023-03-11 20:38:52,46.687,32.57,94.82,Level1,West Jennifer,8.89
28,37,34,2024-07-28 18:02:41,2024-07-28 18:40:15,31.311,40.3,74.67,DCFC,New Dana,10.93
29,31,3,2023-08-12 00:42:54,2023-08-12 11:23:55,20.299,53.28,75.96,Level1,New Scottside,2.89
30,16,24,2023-11-18 07:20:00,2023-11-18 07:43:05,19.246,46.1,78.23,DCFC,Heatherbury,2.15
31,15,29,2023-04-02 12:35:46,2023-04-02 19:50:31,52.17,34.95,100,Level2,North Jesseside,11.46
32,5,17,2023-12-24 07:31:05,2023-12-24 13:31:19,43.229,37.51,94.54,Level2,Olsonmouth,4.45
33,45,4,2023-10-04 15:17:30,2023-10-05 17:17:41,49.406,38.01,100,Level1,East Laurentown,12.74
34,31,4,2023-12-13 11:46:23,2023-12-13 17:00:31,37.697,57.88,100,Level2,New Stacy,10.15
35,9,2,2023-01-13 06:40:03,2023-01-13 07:18:07,31.731,52.57,100,DCFC,North Randall,4.41
36,41,14,2023-07-10 13:41:41,2023-07-10 16:44:14,21.906,55.27,99.17,Level2,Johnsonville,7.2
37,34,18,2023-12-05 22:28:09,2023-12-06 02:22:29,28.12,47.44,100,Level2,West Peter,5.49
38,43,16,2023-03-21 12:18:40,2023-03-21 18:29:15,44.471,44.55,100,Level2,West Angelaberg,5.59
39,15,21,2024-08-20 21:14:39,2024-08-20 22:05:04,42.017,46.72,99.11,DCFC,West Antonioport,5.4
40,29,15,2023-01-21 12:54:55,2023-01-21 21:04:21,15.499,30.72,62.35,Level1,West Michael,5.35
41,7,22,2024-02-07 04:13:31,2024-02-08 00:47:05,39.063,48.87,100,Level1,West Michael,11.98
42,38,28,2024-01-03 08:34:48,2024-01-04 03:59:52,36.894,34.03,94.02,Level1,West Andrewstad,8.27
