trip_id,vehicle_id,driver_id,start_time,end_time,distance_km,energy_used_kwh,avg_speed_kmh,start_soc,end_soc,start_lat,start_lon,end_lat,end_lon,region
1,45,21,2023-04-28 06:02:59,2023-04-28 08:02:43,134.73,30.39,67.51,71.04,32.91,52.498307,29.022506,55.852602,32.901926,North
2,42,4,2023-10-01 08:40:42,2023-10-01 11:29:56,154.66,21.162,54.83,59.37,31.19,-68.860406,146.068676,-65.630848,153.96037,Central
3,22,5,2024-05-15 17:27:14,2024-05-15 20:05:42,259.95,49.611,98.42,69.98,17.87,81.659655,-149.798055,-55.978766,-72.523157,Central
4,34,38,2024-03-06 13:12:21,2024-03-06 16:25:15,286.5,68.498,89.11,32.67,5,-76.121105,-172.084886,66.065914,-108.546903,West
5,41,13,2023-09-07 17:41:35,2023-09-07 20:18:36,183.48,33.772,70.11,92.25,24.57,72.064375,107.019564,79.397597,62.263393,East
6,26,6,2024-01-27 21:28:30,2024-01-28 03:22:45,195.61,48.691,33.13,76.0,5,-12.17337,-159.579949,81.117315,101.44653,East
7,38,34,2024-04-18 15:35:48,2024-04-18 16:27:46,51.83,9.28,59.83,48.39,33.3,47.353734,-64.353081,-88.313337,67.555734,North
8,26,39,2023-02-10 16:09:50,2023-02-10 19:04:18,237.82,33.614,81.78,34.28,5,68.312901,-106.967102,74.224857,-38.586805,East
9,49,25,2023-08-09 16:53:00,2023-08-09 17:41:30,79.34,16.052,98.13,92.69,73.96,-68.763406,-40.212394,9.938436,25.825184,Central
10,12,22,2023-03-05 07:18:25,2023-03-05 11:35:21,176.91,43.542,41.31,52.74,5,71.599686,16.00071,60.977644,121.916601,East
11,50,26,2023-04-11 03:49:59,2023-04-11 05:33:06,180.54,31.631,105.04,50.12,5,-74.447129,84.285436,41.318477,-53.768373,North
12,26,9,2024-06-04 11:52:30,2024-06-04 13:52:57,212.34,50.854,105.77,94.82,5,80.628711,-160.869603,20.035,45.363175,East
13,8,28,2024-01-30 22:54:44,2024-01-31 00:48:20,111.74,17.398,59.01,41.72,9.68,-31.775962,-148.821294,64.129086,43.777766,North
14,36,13,2023-06-25 23:04:06,2023-06-26 06:08:36,299.99,67.37,42.4,49.23,5,63.568347,-69.811732,73.669034,-88.112625,West
15,37,35,2024-10-10 15:45:42,2024-10-10 18:51:08,222.9,52.419,72.12,73.03,15.49,-67.011549,-40.290735,-61.775202,52.806415,North
16,44,9,2024-04-08 21:28:50,2024-04-09 00:10:57,116.13,25.843,42.98,84.04,55.17,27.150727,-103.099977,-57.883257,57.421648,Central
17,13,29,2023-02-03 22:29:09,2023-02-03 23:59:10,126.2,23.133,84.11,45.44,7.27,14.491482,-103.863154,44.907219,-157.405383,East
18,22,29,2023-07-01 18:07:51,2023-07-01 21:05:55,162.53,30.276,54.76,82.56,50.76,-67.881576,63.942143,82.264987,-145.698243,Central
19,15,24,2024-06-10 20:33:20,2024-06-10 23:10:13,284.4,46.588,108.76,60.01,5,-24.580856,60.369388,67.812598,-91.331438,West
20,29,33,2024-02-14 16:33:47,2024-02-14 19:33:15,128.5,26.029,42.96,42.98,5,-51.817756,142.77754,-29.51178,111.394176,North
21,19,4,2024-05-13 00:26:36,2024-05-13 02:54:06,146.77,31.61,59.7,90.73,56.22,78.747928,174.244734,30.466279,172.557126,South
22,38,8,2023-08-10 09:57:35,2023-08-10 10:39:15,29.74,5.698,42.82,59.21,49.94,9.627825,-143.618795,59.789375,10.988153,North
23,32,6,2024-12-08 05:02:33,2024-12-08 06:06:33,70.5,9.391,66.09,52.72,38.95,-67.435519,-72.872108,20.43795,168.542972,East
24,4,26,2024-01-25 22:05:27,2024-01-25 23:59:05,115.32,18.099,60.89,35.3,5,49.218086,38.195513,-53.170578,153.931055,West
25,25,7,2024-10-13 19:22:47,2024-10-13 23:10:42,215.84,29.051,56.82,39.49,8.42,-48.948045,140.731653,57.532699,-65.775185,East
26,35,9,2024-08-12 09:49:27,2024-08-12 13:03:31,213.13,29.733,65.89,30.34,5,-47.349489,-2.851414,11.074381,-3.876102,West
27,19,14,2024-10-10 12:50:25,2024-10-10 13:18:25,49.11,8.879,105.22,69.58,59.89,-82.511972,104.951669,-36.285691,-39.24169,South
28,22,16,2023-08-22 21:51:54,2023-08-22 22:41:57,40.95,8.384,49.08,71.53,62.72,-24.972315,-124.556591,-50.25835,146.931679,Central
29,6,8,2024-10-11 20:59:22,2024-10-12 00:29:18,272.02,52.186,77.74,31.07,5,3.659871,63.72506,-45.118712,-119.941694,Central
30,18,10,2023-08-15 05:42:12,2023-08-15 07:21:56,131.63,23.692,79.18,45.64,17.5,-70.923472,125.549266,70.936678,155.845871,South
31,48,6,2024-02-11 14:27:33,2024-02-11 22:43:12,292.52,55.836,35.41,64.19,7.27,84.948136,-113.375557,59.90327,-8.871377,East
32,37,36,2023-01-16 19:03:32,2023-01-16 20:50:11,120.18,29.772,67.61,71.32,38.64,62.703222,35.640599,-64.311136,-79.712964,North
33,19,2,2023-10-05 08:42:44,2023-10-05 12:50:19,237.61,48.803,57.58,77.64,24.36,38.79166,157.234814,86.277909,110.783496,South
34,42,22,2023-04-14 14:56:06,2023-04-14 15:10:49,18.08,2.73,73.68,82.88,79.24,-52.659786,-73.385018,10.464618,8.666342,Central
35,49,30,2024-06-24 02:59:42,2024-06-24 06:16:25,146.17,31.562,44.58,38.77,5,53.610521,171.207291,71.133714,-105.149779,Central
36,34,3,2023-08-16 22:09:57,2023-08-16 22:51:24,64.47,10.823,93.29,87.58,67.35,-60.465967,-82.563441,-37.095303,161.182713,West
37,24,33,2023-11-06 07:26:03,2023-11-06 11:28:31,296.79,65.411,73.44,46.47,5,5.697679,-10.779954,-33.53648,48.443458,North
38,15,19,2023-10-05 06:28:51,2023-10-05 14:08:55,259.33,42.215,33.82,72.62,19.98,-78.591736,10.643339,-89.932955,-52.743038,West
39,28,28,2024-11-21 21:13:49,2024-11-21 23:07:03,123.01,20.996,65.18,92.17,56.03,69.306866,-173.526408,-56.110279,-44.546189,Central
40,14,32,2024-06-21 13:05:30,2024-06-21 14:33:06,151.77,34.321,103.94,63.75,5,84.270887,-123.357828,-74.579054,3.890354,East
41,32,6,2023-12-01 11:05:56,2023-12-01 13:00:23,182.72,30.797,95.79,65.46,20.3,67.838151,-170.254945,51.16965,-49.214365,East
42,8,21,2024-05-28 08:25:38,2024-05-28 09:49:52,92.21,13.831,65.67,76.65,51.18,88.228471,-55.970944,72.673343,68.275158,North
43,33,23,2023-12-14 07:06:03,2023-12-14 07:16:35,17.49,4.369,99.6,52.92,48.17,35.13028,93.219099,-62.271613,132.442676,Central
44,21,4,2023-02-28 06:52:07,2023-02-28 10:06:59,203.0,44.658,62.5,63.35,5,84.590439,-9.928536,8.813965,-66.164043,West
45,13,2,2023-04-21 21:36:07,2023-04-22 00:37:58,255.36,37.065,84.25,58.48,5,11.583543,178.092289,13.729541,22.475208,East
46,18,24,2023-10-09 06:58:34,2023-10-09 08:32:26,117.94,24.943,75.38,69.33,39.71,-41.724308,77.572742,-87.861215,-128.311393,South
47,28,24,2023-12-11 19:37:41,2023-12-11 22:39:33,230.11,40.905,75.91,64.41,5,-73.298114,-43.310261,24.766814,-65.294665,Central
48,46,18,2023-07-13 21:05:54,2023-07-14 06:05:22,288.35,55.401,32.07,42.09,5,11.044607,-134.531286,-78.208229,20.612835,South
49,40,8,2023-07-23 07:52:15,2023-07-23 10:34:37,233.61,47.522,86.32,43.95,5,57.583146,144.793589,79.341291,-12.077876,East
50,50,32,2023-06-05 11:35:41,2023-06-05 12:00:50,41.18,9.794,98.23,59.38,44.67,42.247073,13.095208,-26.734808,-152.869886,North
51,33,6,2024-09-21 13:03:41,2024-09-21 15:10:22,206.17,35.398,97.64,50.77,12.25,-39.022008,9.470841,30.477251,116.052205,Central
52,6,36,2024-02-26 02:48:24,2024-02-26 04:29:08,90.66,19.505,54.0,40.24,5,-11.563529,-100.18279,79.059706,-91.462118,Central
53,50,12,2024-09-08 11:34:22,2024-09-08 13:54:05,111.64,25.124,47.94,94.03,56.31,-8.339547,56.108191,17.975794,-164.28544,North
54,18,32,2023-01-21 09:58:11,2023-01-21 11:26:26,111.46,27.638,75.78,60.38,27.56,42.011148,12.138335,-85.3295,-177.491927,South
55,11,40,2024-11-17 19:32:54,2024-11-17 20:06:15,30.43,6.581,54.74,94.97,81.03,41.588086,83.652087,-20.182281,-23.836216,North
56,38,27,2024-08-20 10:15:59,2024-08-20 11:55:17,125.78,21.136,75.99,38.15,5,-41.933687,171.62393,-35.407905,126.215571,North
57,6,29,2023-12-28 19:45:36,2023-12-28 23:19:56,205.63,45.985,57.56,87.07,5,7.206771,97.869069,58.901017,66.081354,Central
