vehicle_id,vin,model,manufacturer,year,battery_capacity_kwh,max_range_km,fleet_region,status,registered_at
1,1JED1UWBDHWV00PRK,i3,BMW,2020,46.7,298,East,active,2020-03-16
2,DD4W31U9NV4X5W0BH,ID.3,Volkswagen,2019,60.2,403,North,active,2021-07-17
3,FMZ0ZCXUJSJ7ZHL2B,i3,BMW,2021,90.0,522,North,active,2022-03-07
4,YP7SJJVJW6PH9TDBD,iX,BMW,2020,58.9,387,West,active,2021-02-27
5,SJV8ZD612MKFA0092,Kona EV,Hyundai,2019,75.8,510,East,maintenance,2021-11-05
6,NF877WTDM93HHVC13,Leaf,Nissan,2020,51.9,327,Central,active,2021-12-16
7,871Z0PZN6RJCAVWA0,ID.4,Volkswagen,2020,76.4,392,North,maintenance,2019-05-26
8,ZHE7VS23GDRPS1Z9D,Ariya,Nissan,2024,54.3,308,North,active,2020-01-25
9,PKJ7R5VB94875FTHP,Leaf,Nissan,2020,66.9,385,West,active,2023-05-25
10,P89V0FK8WU1BWT5F8,ID.4,Volkswagen,2020,67.3,345,North,active,2020-04-26
11,6JWXPWU7G0HPZKL1C,Ioniq 6,Hyundai,2023,47.2,330,North,active,2020-03-12
12,766NF40X9YA3KY7ED,Leaf,Nissan,2024,55.9,341,East,active,2020-03-07
13,Z5TJ6BX4BME9FR0VD,iX,BMW,2020,60.6,369,East,active,2019-10-31
14,L6356GJD26PXF7593,Ioniq 6,Hyundai,2019,47.6,255,East,active,2021-04-23
15,1JF0NBSG7M45HYPKC,ID.3,Volkswagen,2021,80.2,503,West,active,2023-09-24
16,A5JW9BWM2R9D6GBRU,Leaf,Nissan,2021,59.9,351,East,active,2022-09-20
17,6TZL0VGYN1FVP4LG2,ID.3,Volkswagen,2022,47.5,279,South,active,2023-06-14
18,YKYXD8HL3EB9X2S6V,ID.3,Volkswagen,2022,84.2,488,South,active,2019-01-12
19,62H3ZSV7EESUVL1R3,ID.3,Volkswagen,2023,91.6,539,South,active,2021-08-30
20,JY2UXKCKJLUEHZ0CP,Kona EV,Hyundai,2022,55.6,324,South,maintenance,2021-03-08
21,Z52NAM158P1VWHHRA,ID.3,Volkswagen,2024,75.0,476,West,active,2023-09-18
22,9U6WYCR5FJLSM6K8P,Ioniq 5,Hyundai,2022,95.2,479,Central,active,2020-12-17
23,2Y18GAFEZVH02FX1D,R1T,Rivian,2021,79.0,412,North,maintenance,2022-03-25
24,N8GW4J0KZ33VBUYCY,i3,BMW,2022,94.5,627,North,active,2021-01-11
25,SFFUYX72S4WLJ7KR1,iX,BMW,2023,93.5,592,East,active,2023-10-09
26,G3M60KA8C0T2ZYT3D,Atto 3,BYD,2022,50.9,324,East,active,2021-01-25
27,M9VMRLH0L18ZG1KW2,Kona EV,Hyundai,2021,73.2,509,South,active,2021-01-09
28,0EBBK8Y1DAKSM8J5D,R1T,Rivian,2022,58.1,347,Central,active,2019-04-20
29,VL9D2X3HURR59LXX1,R1T,Rivian,2024,49.0,265,North,active,2019-12-22
30,ARWKH00RZ72XY7RUY,Ariya,Nissan,2020,44.5,228,South,active,2022-05-03
31,7RSLPJURW61WAHZ5W,i3,BMW,2024,89.5,594,Central,active,2023-03-29
32,Y7FWXTDMLZ5LZK83V,R1S,Rivian,2019,68.2,383,East,active,2023-05-02
33,4A5SBUXTRBJEK6SAX,Ioniq 5,Hyundai,2024,91.9,488,Central,active,2021-04-15
34,4D8YF7K0PSSSEGW1E,Model 3,Tesla,2021,53.5,350,West,active,2023-06-02
35,A04WY5RSL2N759HN5,Ariya,Nissan,2019,56.0,315,West,active,2023-07-20
36,Y49TBTW55RUS0PYFS,Ioniq 6,Hyundai,2021,63.2,394,West,active,2023-10-11
37,5NL025BCX791RDX5R,Tang,BYD,2021,91.1,620,North,active,2019-04-25
38,RJPZFFXNZTWHYSZ6S,Han,BYD,2024,61.5,374,North,active,2020-12-08
39,8ZSK95DNMK0A4PA52,Leaf,Nissan,2023,57.9,375,East,active,2020-04-16
40,HGJ12ZEDXB3BNE7LP,Leaf,Nissan,2020,88.1,579,East,active,2020-07-12
41,788K53SC1HZZP4VCP,ID.3,Volkswagen,2023,49.9,261,East,active,2022-10-08
42,48DHA6V7HC47KPE8L,Han,BYD,2019,75.1,390,Central,active,2021-07-18
43,18P1FPDTP8BNR85DZ,Tang,BYD,2024,80.2,458,West,active,2019-09-08
44,DGY9BM92G4VW3H23W,ID.3,Volkswagen,2020,89.5,624,Central,active,2019-12-24
45,AA3HLFB1U1S2TDT8B,Model S,Tesla,2023,79.7,446,North,active,2021-09-07
46,ZT7CCXCKXVL9URWD0,ID.4,Volkswagen,2022,64.1,378,South,active,2023-08-22
47,1LLJ8ZSDCR1NEB8VZ,Ioniq 6,Hyundai,2021,63.9,431,West,maintenance,2023-01-16
48,WMWHYHD4N2V3494XY,Model 3,Tesla,2023,98.1,672,East,active,2020-07-13
49,7MFEYC19DUNRFLL8W,i3,BMW,2020,85.7,455,Central,active,2019-06-17
50,PXPHTMDZWULH9BG82,Han,BYD,2021,66.6,376,North,active,2021-05-31
